"Source:","C:\Users\PC\OneDrive\Documenten\School\Fontys\Minor\Be creative minor\Git\Audio-DSP\KiCAD\Main board\Main board.kicad_sch"
"Date:","6/8/2023 1:09:46 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","511"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Cable","FPGA connector","LEDs for all VU-meters","Sim.Device","Sim.Pins","Wire housing"
"28","38","R11, R12, R15, R16, R37, R40, R58, R59, R60, R61, R62, R63, R64, R65, R103, R106, R107, R112, R126, R127, R133, R134, R135, R147, R153, R154, R155, R163, R164, R165, R170, R171, R191, R192, R195, R196, R197, R198","1k","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6ARW102V?qs=sGAEpiMZZMvdGkrng054t7Q%2FBjLwFmgi9xVIaqQ4tjI%3D","","","","","","",""
"29","12","R17, R18, R19, R20, R66, R67, R68, R69, R70, R71, R72, R73","4k7","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AEB472V?qs=sGAEpiMZZMvdGkrng054t%252BKCHBXLTLydL5pbD7DuWjw%3D","","","","","","",""
"30","4","R21, R22, R23, R24","820","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AEB821V?qs=sGAEpiMZZMvdGkrng054tysRcmITJKxo%252BwgDELfo9Ug%3D","","","","","","",""
"31","4","R25, R26, R27, R28","4k3","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6ARB432V?qs=sGAEpiMZZMvdGkrng054t7Q%2FBjLwFmgitlkt52JB0tk%3D","","","","","","",""
"32","2","R29, R30","22","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AHD220V?qs=MNPzkKEzRtQTWqg2JSKn2A%3D%3D","","","","","","",""
"33","20","R31, R32, R33, R34, R43, R44, R74, R75, R76, R77, R80, R81, R82, R83, R110, R111, R172, R173, R174, R175","39","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AHD390V?qs=sGAEpiMZZMvdGkrng054t%252B2w5OgPkZzPSMe78p4YxGA%3D","","","","","","",""
"34","4","R41, R42, R108, R109","2k7","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AED272V?qs=sGAEpiMZZMvdGkrng054t%252B2w5OgPkZzP%252BFNxMoTOAkY%3D","","","","","","",""
"35","6","R45, R46, R86, R89, R90, R104","47k","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AEB473V?qs=sGAEpiMZZMvdGkrng054t%252BKCHBXLTLydydoyC6PfS8c%3D","","","","","","",""
"36","6","R49, R91, R99, R101, R105, R113","220","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AEB221V?qs=sGAEpiMZZMvdGkrng054t%252BKCHBXLTLydB9sUa0lrnWo%3D","","","","","","",""
"37","2","R92, R100","2M2","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERJ-6ENF2204V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7xRn6zj0NuSRo%3D","","","","","","",""
"38","4","R95, R96, R97, R98","0","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Vishay-Beyschlag/MCU08050Z0000ZP500?qs=sGAEpiMZZMvdGkrng054t08mBkYXkqb3WMVGce6rfzg%3D","","","","","","",""
"39","6","R124, R125, R181, R182, R213, R214","0R","Device:R","Resistor_SMD:R_0402_1005Metric","https://nl.mouser.com/ProductDetail/Bourns/CR0402-J-000GLF?qs=sGAEpiMZZMvdGkrng054ty0Ltb6w4qYv7iFgr%252B%252BWae0%3D","","","","","","",""
"40","2","R128, R162","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","",""
"41","16","R129, R130, R131, R132, R156, R157, R158, R159, R201, R202, R203, R204, R205, R206, R207, R208","330","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/YAGEO/AC0805JR-07330RL?qs=sGAEpiMZZMvdGkrng054t7zOzNqIRvGcabzYrX3Xc94%3D","","","","","","",""
"42","20","R138, R139, R140, R141, R144, R145, R146, R148, R149, R150, R179, R180, R183, R184, R185, R186, R187, R188, R210, R212","10k","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/YAGEO/AA0805FR-0710KL?qs=sGAEpiMZZMvdGkrng054t0oajw3iSIeZmgnQwq8P8YpOsoQ0yHYwuw%3D%3D","","","","","","",""
